FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
429,,,,,,,,,,,,,,,104.053883,30.659777
430,,,,,,,,,,,,,,,104.054228,30.65962
431,,,,,,,,,,,,,,,104.054202,30.659811
432,,,,,,,,,,,,,,,104.054228,30.65962
433,,,,,,,,,,,,,,,104.054278,30.6596
434,,,,,,,,,,,,,,,104.054828,30.65988
435,,,,,,,,,,,,,,,104.053562,30.659902
436,,,,,,,,,,,,,,,104.053883,30.659777
437,,,,,,,,,,,,,,,104.054004,30.659937
438,,,,,,,,,,,,,,,104.053883,30.659777
439,,,,,,,,,,,,,,,104.054004,30.659937
440,,,,,,,,,,,,,,,104.054202,30.659811
441,,,,,,,,,,,,,,,104.054202,30.659811
442,,,,,,,,,,,,,,,104.054739,30.660145
443,,,,,,,,,,,,,,,104.053581,30.660546
444,,,,,,,,,,,,,,,104.053562,30.659902
445,,,,,,,,,,,,,,,104.053562,30.659902
446,,,,,,,,,,,,,,,104.053446,30.659149
447,,,,,,,,,,,,,,,104.053768,30.658959
448,,,,,,,,,,,,,,,104.055344,30.659852
449,,,,,,,,,,,,,,,104.055418,30.659852
450,,,,,,,,,,,,,,,104.054828,30.65988
451,,,,,,,,,,,,,,,104.055344,30.659852
452,,,,,,,,,,,,,,,104.055564,30.660013
453,,,,,,,,,,,,,,,104.055418,30.659852
454,,,,,,,,,,,,,,,104.055564,30.660013
455,,,,,,,,,,,,,,,104.056105,30.659932
456,,,,,,,,,,,,,,,104.054739,30.660145
457,,,,,,,,,,,,,,,104.054828,30.65988
458,,,,,,,,,,,,,,,104.054873,30.660316
459,,,,,,,,,,,,,,,104.054739,30.660145
460,,,,,,,,,,,,,,,104.054873,30.660316
461,,,,,,,,,,,,,,,104.055344,30.659852
462,,,,,,,,,,,,,,,104.054872,30.660358
463,,,,,,,,,,,,,,,104.054873,30.660316
464,,,,,,,,,,,,,,,104.054872,30.660358
465,,,,,,,,,,,,,,,104.055564,30.660013
466,,,,,,,,,,,,,,,104.055418,30.659852
467,,,,,,,,,,,,,,,104.05582,30.65956
468,,,,,,,,,,,,,,,104.056105,30.659932
469,,,,,,,,,,,,,,,104.056823,30.659287
470,,,,,,,,,,,,,,,104.056901,30.658971
471,,,,,,,,,,,,,,,104.056336,30.660209
472,,,,,,,,,,,,,,,104.056105,30.659932
473,,,,,,,,,,,,,,,104.056336,30.660209
474,,,,,,,,,,,,,,,104.057107,30.659602
475,,,,,,,,,,,,,,,104.057905,30.659022
476,,,,,,,,,,,,,,,104.058254,30.658821
477,,,,,,,,,,,,,,,104.05582,30.65956
478,,,,,,,,,,,,,,,104.056105,30.659932
479,,,,,,,,,,,,,,,104.05582,30.65956
480,,,,,,,,,,,,,,,104.055506,30.659029
481,,,,,,,,,,,,,,,104.062327,30.6599
482,,,,,,,,,,,,,,,104.062263,30.660384
483,,,,,,,,,,,,,,,104.062327,30.6599
484,,,,,,,,,,,,,,,104.062271,30.659217
485,,,,,,,,,,,,,,,104.062327,30.6599
486,,,,,,,,,,,,,,,104.063175,30.659448
487,,,,,,,,,,,,,,,104.063381,30.659428
488,,,,,,,,,,,,,,,104.063064,30.660361
489,,,,,,,,,,,,,,,104.06362,30.660305
490,,,,,,,,,,,,,,,104.063064,30.660361
491,,,,,,,,,,,,,,,104.062327,30.6599
492,,,,,,,,,,,,,,,104.063064,30.660361
493,,,,,,,,,,,,,,,104.062263,30.660384
494,,,,,,,,,,,,,,,104.064202,30.659905
495,,,,,,,,,,,,,,,104.063432,30.659432
496,,,,,,,,,,,,,,,104.063381,30.659428
497,,,,,,,,,,,,,,,104.064202,30.659905
498,,,,,,,,,,,,,,,104.064435,30.659907
499,,,,,,,,,,,,,,,104.064126,30.660149
500,,,,,,,,,,,,,,,104.064202,30.659905
501,,,,,,,,,,,,,,,104.064346,30.660267
502,,,,,,,,,,,,,,,104.064126,30.660149
503,,,,,,,,,,,,,,,104.064346,30.660267
504,,,,,,,,,,,,,,,104.064435,30.659907
505,,,,,,,,,,,,,,,104.063633,30.660305
506,,,,,,,,,,,,,,,104.064126,30.660149
507,,,,,,,,,,,,,,,104.06362,30.660305
508,,,,,,,,,,,,,,,104.063633,30.660305
509,,,,,,,,,,,,,,,104.064357,30.66032
510,,,,,,,,,,,,,,,104.064346,30.660267
511,,,,,,,,,,,,,,,104.064357,30.66032
512,,,,,,,,,,,,,,,104.063633,30.660305
513,,,,,,,,,,,,,,,104.06362,30.660305
514,,,,,,,,,,,,,,,104.063376,30.659472
515,,,,,,,,,,,,,,,104.063381,30.659428
516,,,,,,,,,,,,,,,104.064435,30.659907
517,,,,,,,,,,,,,,,104.064491,30.659214
518,,,,,,,,,,,,,,,104.053514,30.658585
519,,,,,,,,,,,,,,,104.054339,30.658036
520,,,,,,,,,,,,,,,104.055173,30.657494
521,,,,,,,,,,,,,,,104.056007,30.656952
522,,,,,,,,,,,,,,,104.057033,30.656921
523,,,,,,,,,,,,,,,104.057113,30.656931
524,,,,,,,,,,,,,,,104.053781,30.658853
525,,,,,,,,,,,,,,,104.053514,30.658585
526,,,,,,,,,,,,,,,104.053768,30.658959
527,,,,,,,,,,,,,,,104.053781,30.658853
528,,,,,,,,,,,,,,,104.053781,30.658853
529,,,,,,,,,,,,,,,104.054579,30.658287
530,,,,,,,,,,,,,,,104.055137,30.658122
531,,,,,,,,,,,,,,,104.055506,30.659029
532,,,,,,,,,,,,,,,104.055222,30.658207
533,,,,,,,,,,,,,,,104.055137,30.658122
534,,,,,,,,,,,,,,,104.056498,30.658649
535,,,,,,,,,,,,,,,104.056846,30.65828
536,,,,,,,,,,,,,,,104.057012,30.658887
537,,,,,,,,,,,,,,,104.05709,30.65843
538,,,,,,,,,,,,,,,104.057012,30.658887
539,,,,,,,,,,,,,,,104.057813,30.658669
540,,,,,,,,,,,,,,,104.05679,30.658949
541,,,,,,,,,,,,,,,104.056498,30.658649
542,,,,,,,,,,,,,,,104.05679,30.658949
543,,,,,,,,,,,,,,,104.056498,30.658649
544,,,,,,,,,,,,,,,104.056901,30.658971
545,,,,,,,,,,,,,,,104.05679,30.658949
546,,,,,,,,,,,,,,,104.056901,30.658971
547,,,,,,,,,,,,,,,104.057012,30.658887
548,,,,,,,,,,,,,,,104.058266,30.658832
549,,,,,,,,,,,,,,,104.058254,30.658821
550,,,,,,,,,,,,,,,104.058266,30.658832
551,,,,,,,,,,,,,,,104.059309,30.658821
552,,,,,,,,,,,,,,,104.059923,30.658815
553,,,,,,,,,,,,,,,104.057813,30.658669
554,,,,,,,,,,,,,,,104.05741,30.658443
